类别,日期,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,持仓手,变化
1701,20170103,45210,45470,45970,45420,45450,45780,240,570,18760,41960,-2280
1702,20170103,45300,45440,46140,45440,45610,45890,310,590,54938,124566,-5686
1703,20170103,45430,45630,46290,45630,45760,46040,330,610,183888,193636,6278
1704,20170103,45570,45820,46430,45780,45900,46190,330,620,26376,67036,-512
1705,20170103,45720,46160,46580,45910,46010,46320,290,600,9446,28730,538
1706,20170103,45880,46220,46700,46100,46160,46470,280,590,2054,8690,684
1707,20170103,46070,46390,46900,46340,46340,46730,270,660,594,2532,290
1708,20170103,46230,46600,47120,46600,46650,46980,420,750,290,1860,172
1709,20170103,46380,46980,47590,46740,46740,47210,360,830,302,2824,64
1710,20170103,46590,47410,47600,47120,47120,47410,530,820,330,1404,62
1711,20170103,46800,47630,47980,47200,47210,47760,410,960,2374,4370,1254
1712,20170103,47010,47650,47980,47350,47350,47820,340,810,1766,5004,922
小计,20170103,,,,,,,,,301118,482612,1786
1701,20170104,45780,45670,45670,44630,45270,45000,-510,-780,23690,37920,-4040
1702,20170104,45890,45780,45820,44690,45360,45200,-530,-690,72186,120298,-4268
1703,20170104,46040,45910,45980,44810,45520,45360,-520,-680,290606,197220,3584
1704,20170104,46190,46040,46090,44950,45640,45460,-550,-730,36024,69008,1972
1705,20170104,46320,46040,46230,45110,45810,45610,-510,-710,15908,29648,918
1706,20170104,46470,46190,46360,45250,45960,45850,-510,-620,3028,9232,542
1707,20170104,46730,46380,46520,45450,46140,46040,-590,-690,1050,3174,642
1708,20170104,46980,46650,46780,45680,46350,46220,-630,-760,492,2030,170
1709,20170104,47210,47000,47000,45820,46560,46420,-650,-790,318,2982,158
1710,20170104,47410,47180,47300,46090,46790,46620,-620,-790,348,1466,62
1711,20170104,47760,47420,47580,46280,47100,46950,-660,-810,764,4592,222
1712,20170104,47820,47570,47680,46560,47270,47130,-550,-690,2400,6472,1468
小计,20170104,,,,,,,,,446814,484042,1430
1701,20170105,45000,45210,45830,45110,45480,45560,480,560,16310,35960,-1960
1702,20170105,45200,45270,46000,45220,45600,45690,400,490,59574,114618,-5680
1703,20170105,45360,45400,46170,45360,45760,45850,400,490,318430,206010,8790
1704,20170105,45460,45510,46270,45490,45900,45990,440,530,39368,72474,3466
1705,20170105,45610,45810,46400,45620,46050,46120,440,510,15212,30310,662
1706,20170105,45850,45960,46520,45790,46150,46230,300,380,2812,9738,506
1707,20170105,46040,46030,46620,45990,46490,46440,450,400,158,3198,24
1708,20170105,46220,46200,46830,46200,46590,46580,370,360,690,2376,346
1709,20170105,46420,46250,47140,46250,46720,46830,300,410,410,3100,118
1710,20170105,46620,46630,47390,46630,47030,47140,410,520,316,1572,106
1711,20170105,46950,46920,47690,46910,47210,47480,260,530,3118,6202,1610
1712,20170105,47130,47130,47800,47130,47360,47640,230,510,1554,7266,794
小计,20170105,,,,,,,,,457952,492824,8782
1701,20170106,45560,45350,45430,44930,45090,45160,-470,-400,19080,33120,-2840
1702,20170106,45690,45560,45600,44980,45180,45270,-510,-420,49220,109790,-4828
1703,20170106,45850,45720,45770,45090,45350,45430,-500,-420,252160,202332,-3678
1704,20170106,45990,45870,45880,45230,45440,45530,-550,-460,31062,71860,-614
1705,20170106,46120,45990,46020,45360,45550,45670,-570,-450,14390,30562,252
1706,20170106,46230,46120,46120,45490,45650,45760,-580,-470,3714,10716,978
1707,20170106,46440,46060,46200,45720,45800,45930,-640,-510,364,3268,70
1708,20170106,46580,46220,46390,45870,45990,46110,-590,-470,320,2520,144
1709,20170106,46830,46530,46730,45470,46080,46340,-750,-490,494,3302,202
1710,20170106,47140,46750,46910,46240,46310,46480,-830,-660,154,1642,70
1711,20170106,47480,47020,47190,46460,46510,46640,-970,-840,886,6330,128
1712,20170106,47640,47230,47320,46620,46620,46910,-1020,-730,566,7210,-56
小计,20170106,,,,,,,,,372410,482652,-10172
1701,20170109,45160,45160,45480,44880,45420,45330,260,170,17040,28060,-5060
1702,20170109,45270,45110,45610,44950,45590,45370,320,100,39366,110292,502
1703,20170109,45430,45260,45770,45090,45730,45470,300,40,201880,204444,2112
1704,20170109,45530,45390,45870,45210,45840,45600,310,70,25526,73188,1328
1705,20170109,45670,45510,45980,45340,45960,45760,290,90,10136,31042,480
1706,20170109,45760,45580,46080,45450,46060,45870,300,110,1380,10798,82
1707,20170109,45930,45830,46190,45600,46190,46010,260,80,354,3400,132
1708,20170109,46110,46010,46300,45740,46270,46180,160,70,574,2986,466
1709,20170109,46340,46120,46620,46060,46360,46350,20,10,226,3354,52
1710,20170109,46480,46310,46650,46180,46400,46460,-80,-20,84,1642,0
1711,20170109,46640,46620,46910,46390,46750,46780,110,140,350,6388,58
1712,20170109,46910,46700,47040,46400,47040,46960,130,50,758,7376,166
小计,20170109,,,,,,,,,297674,482970,318
1701,20170110,45330,45340,46000,45130,45910,45530,580,200,15420,22820,-5240
1702,20170110,45370,45380,46120,45210,45980,45640,610,270,45380,107136,-3156
1703,20170110,45470,45530,46270,45350,46110,45780,640,310,310498,218778,14334
1704,20170110,45600,45670,46360,45500,46240,45930,640,330,38550,75752,2564
1705,20170110,45760,45770,46470,45610,46330,46050,570,290,15122,31596,554
1706,20170110,45870,45900,46550,45700,46420,46130,550,260,2518,11774,976
1707,20170110,46010,45940,46640,45800,46550,46210,540,200,670,3724,324
1708,20170110,46180,45960,46730,45960,46730,46390,550,210,312,3154,168
1709,20170110,46350,46120,46880,45560,46880,46380,530,30,526,3544,190
1710,20170110,46460,46470,46880,46290,46790,46510,330,50,52,1656,14
1711,20170110,46780,46590,47200,46500,47190,46840,410,60,242,6364,-24
1712,20170110,46960,46870,47320,46660,47300,47130,340,170,268,7368,-8
小计,20170110,,,,,,,,,429558,493666,10696
1701,20170111,45530,45910,46880,45910,46880,46660,1350,1130,14510,17810,-5010
1702,20170111,45640,46210,47060,46210,46960,46790,1320,1150,60234,105620,-1516
1703,20170111,45780,46340,47260,46340,47160,46950,1380,1170,371356,225868,7090
1704,20170111,45930,46480,47370,46450,47270,47040,1340,1110,49742,79152,3400
1705,20170111,46050,46510,47490,46510,47450,47190,1400,1140,23148,31644,48
1706,20170111,46130,46520,47520,46520,47510,47280,1380,1150,3626,12780,1006
1707,20170111,46210,46860,47600,46860,47590,47350,1380,1140,758,3788,64
1708,20170111,46390,47000,47760,46980,47590,47470,1200,1080,1440,3546,392
1709,20170111,46380,46850,47990,46590,47700,47630,1320,1250,2516,4790,1246
1710,20170111,46510,47260,48380,47250,48020,48010,1510,1500,2660,2876,1220
1711,20170111,46840,47460,48590,47460,48190,48100,1350,1260,4708,8654,2290
1712,20170111,47130,47690,48580,47570,48460,48240,1330,1110,786,7640,272
小计,20170111,,,,,,,,,535484,504168,10502
1701,20170112,46660,46680,46890,46530,46720,46690,60,30,9580,13420,-4390
1702,20170112,46790,46790,47020,46600,46820,46810,30,20,41142,98888,-6732
1703,20170112,46950,46950,47200,46750,46980,46990,30,40,289596,220550,-5318
1704,20170112,47040,47100,47300,46880,47070,47100,30,60,41124,80798,1646
1705,20170112,47190,47170,47450,47050,47190,47240,0,50,19862,33722,2078
1706,20170112,47280,47350,47540,47120,47340,47310,60,30,1796,12968,188
1707,20170112,47350,47400,47600,47340,47370,47420,20,70,246,3828,40
1708,20170112,47470,47470,47780,47450,47590,47590,120,120,298,3566,20
1709,20170112,47630,47540,47950,47190,47690,47770,60,140,434,4744,-46
1710,20170112,48010,47870,48160,47770,47930,48050,-80,40,2392,4650,1774
1711,20170112,48100,48000,48350,47940,48050,48130,-50,30,1254,8762,108
1712,20170112,48240,48180,48430,48100,48150,48250,-90,10,540,7858,218
小计,20170112,,,,,,,,,408264,493754,-10414
1701,20170113,46690,47040,47450,46820,47100,47240,410,550,8900,11030,-2390
1702,20170113,46810,46950,47630,46950,47240,47320,430,510,45098,96144,-2744
1703,20170113,46990,47110,47810,47110,47400,47500,410,510,362068,215618,-4932
1704,20170113,47100,47260,47910,47230,47510,47600,410,500,46614,85268,4470
1705,20170113,47240,47380,48050,47370,47620,47740,380,500,17078,34282,560
1706,20170113,47310,47440,48150,47440,47730,47870,420,560,1942,12806,-162
1707,20170113,47420,47750,48270,47620,47850,47980,430,560,342,3840,12
1708,20170113,47590,47860,48450,47860,47920,48200,330,610,210,3600,34
1709,20170113,47770,48250,48680,48000,48000,48450,230,680,1134,4826,82
1710,20170113,48050,48340,48790,48180,48230,48540,180,490,1628,4910,260
1711,20170113,48130,48490,48920,48200,48200,48690,70,560,1416,8718,-44
1712,20170113,48250,48690,49000,48450,48450,48770,200,520,628,8166,308
小计,20170113,,,,,,,,,487058,489208,-4546
1701,20170116,47240,47180,48000,47180,47580,47590,340,350,4330,10600,-430
1702,20170116,47320,47240,48200,47080,47780,47780,460,460,38442,94276,-1868
1703,20170116,47500,47420,48390,47230,47950,47900,450,400,355334,222522,6904
1704,20170116,47600,47550,48480,47350,48070,48010,470,410,46970,88360,3092
1705,20170116,47740,47520,48610,47490,48180,48220,440,480,21946,37396,3114
1706,20170116,47870,47730,48730,47630,48280,48420,410,550,2160,13176,370
1707,20170116,47980,47820,48750,47680,48420,48450,440,470,100,3816,-24
1708,20170116,48200,47950,48900,47950,48560,48610,360,410,96,3628,28
1709,20170116,48450,48000,49060,48000,48650,48690,200,240,168,4842,16
1710,20170116,48540,48290,49360,48290,48890,49020,350,480,254,4894,-16
1711,20170116,48690,48200,49360,48200,49050,49000,360,310,356,8716,-2
1712,20170116,48770,48530,49490,48530,49220,49130,450,360,204,8164,-2
小计,20170116,,,,,,,,,470360,500390,11182
1702,20170117,47780,47700,47870,46410,46610,47040,-1170,-740,40534,87012,-7264
1703,20170117,47900,47880,48060,46540,46780,47320,-1120,-580,303912,204580,-17942
1704,20170117,48010,48010,48150,46650,46880,47300,-1130,-710,53446,91804,3444
1705,20170117,48220,48180,48270,46800,47020,47460,-1200,-760,23574,39904,2508
1706,20170117,48420,48280,48360,46940,47120,47710,-1300,-710,2694,13040,-136
1707,20170117,48450,48310,48340,47090,47230,47560,-1220,-890,262,3844,28
1708,20170117,48610,48360,48360,47260,47310,47530,-1300,-1080,130,3626,-2
1709,20170117,48690,48490,48740,47430,47500,48160,-1190,-530,238,4816,-26
1710,20170117,49020,48780,48970,47550,47700,48150,-1320,-870,490,4898,4
1711,20170117,49000,48940,48990,47700,47860,48440,-1140,-560,314,8694,-22
1712,20170117,49130,48960,49140,47800,47900,48630,-1230,-500,632,8246,82
1801,20170117,49130,48860,48910,48000,48020,48110,-1110,-1020,84,68,68
小计,20170117,,,,,,,,,426310,470532,-19258
1702,20170118,47040,46660,46880,45800,46480,46350,-560,-690,35668,82120,-4892
1703,20170118,47320,46850,47060,45930,46600,46550,-720,-770,308372,197432,-7148
1704,20170118,47300,46940,47150,46060,46710,46620,-590,-680,60138,90588,-1216
1705,20170118,47460,47080,47290,46170,46800,46700,-660,-760,35506,46020,6116
1706,20170118,47710,47310,47350,46260,46860,46690,-850,-1020,8092,13534,494
1707,20170118,47560,47340,47450,46310,46990,46840,-570,-720,5050,4940,1096
1708,20170118,47530,47460,47480,46170,47060,46850,-470,-680,3920,3894,268
1709,20170118,48160,47520,47690,45950,47110,46890,-1050,-1270,2286,3788,-1028
1710,20170118,48150,47840,47840,45990,47170,47040,-980,-1110,3758,3284,-1614
1711,20170118,48440,47980,48030,45040,47040,46390,-1400,-2050,12098,5114,-3580
1712,20170118,48630,48060,48060,45230,47070,46530,-1560,-2100,11994,4338,-3908
1801,20170118,48110,48230,48230,46100,47100,46760,-1010,-1350,622,346,278
小计,20170118,,,,,,,,,487504,455398,-15134
1702,20170119,46350,46430,46720,46170,46580,46530,230,180,25116,79396,-2724
1703,20170119,46550,46500,46880,46290,46730,46610,180,60,208420,193114,-4318
1704,20170119,46620,46630,46980,46410,46850,46730,230,110,41008,92206,1618
1705,20170119,46700,46620,47080,46490,46970,46860,270,160,18706,49768,3748
1706,20170119,46690,46790,47170,46600,47030,47010,340,320,2126,13746,212
1707,20170119,46840,46810,47220,46680,47070,47030,230,190,1200,5190,250
1708,20170119,46850,46860,47260,46750,47110,47050,260,200,126,3854,-40
1709,20170119,46890,46900,47300,46850,47150,47110,260,220,214,3782,-6
1710,20170119,47040,46960,47340,46880,47220,47210,180,170,1216,4280,996
1711,20170119,46390,47040,47380,46720,47220,47140,830,750,894,4540,-574
1712,20170119,46530,46870,47340,46730,47270,47070,740,540,426,4270,-68
1801,20170119,46760,47000,47200,47000,47170,47150,410,390,26,368,22
小计,20170119,,,,,,,,,299478,454514,-884
1702,20170120,46530,46380,46590,45910,45980,46340,-550,-190,39236,70674,-8722
1703,20170120,46610,46570,46730,46000,46080,46420,-530,-190,236030,180960,-12154
1704,20170120,46730,46710,46820,46100,46150,46490,-580,-240,48660,93808,1602
1705,20170120,46860,46790,46920,46210,46300,46590,-560,-270,22424,49754,-14
1706,20170120,47010,46860,47000,46290,46340,46600,-670,-410,4108,13826,80
1707,20170120,47030,46960,46960,46330,46400,46760,-630,-270,676,5160,-30
1708,20170120,47050,46850,47190,46380,46420,46740,-630,-310,230,3724,-130
1709,20170120,47110,46920,47060,46370,46460,46800,-650,-310,230,3688,-94
1710,20170120,47210,47100,47140,46410,46460,46840,-750,-370,226,4224,-56
1711,20170120,47140,47020,47050,46450,46470,46850,-670,-290,122,4528,-12
1712,20170120,47070,47100,47100,46410,46460,46810,-610,-260,222,4238,-32
1801,20170120,47150,46940,47070,46560,46560,46930,-590,-220,44,338,-30
小计,20170120,,,,,,,,,352208,434922,-19592
1702,20170123,46340,46150,47100,46060,46750,46780,410,440,24802,65176,-5498
1703,20170123,46420,46270,47280,46140,46850,46790,430,370,240234,178494,-2466
1704,20170123,46490,46380,47370,46250,46960,46890,470,400,52484,102078,8270
1705,20170123,46590,46390,47440,46340,47040,47010,450,420,22032,51900,2146
1706,20170123,46600,46600,47510,46450,47070,47160,470,560,4158,14814,988
1707,20170123,46760,46640,47520,46480,47130,47140,370,380,566,5250,90
1708,20170123,46740,46590,47500,46500,47070,47240,330,500,666,3940,216
1709,20170123,46800,46660,47530,46600,47120,47160,320,360,138,3700,12
1710,20170123,46840,46580,47590,46450,47100,47160,260,320,178,4238,14
1711,20170123,46850,46730,47570,46590,47240,47250,390,400,78,4522,-6
1712,20170123,46810,46620,47560,46610,47090,47220,280,410,158,4220,-18
1801,20170123,46930,46810,47400,46810,47170,47120,240,190,16,348,10
小计,20170123,,,,,,,,,345510,438680,3758
1702,20170124,46780,46680,47070,46400,46940,46810,160,30,20102,59894,-5282
1703,20170124,46790,46810,47210,46500,47070,46870,280,80,187382,175182,-3312
1704,20170124,46890,46890,47320,46610,47200,47030,310,140,44760,107104,5026
1705,20170124,47010,47010,47390,46700,47280,47100,270,90,22536,53588,1688
1706,20170124,47160,46990,47450,46780,47340,47160,180,0,2016,15034,220
1707,20170124,47140,47030,47470,46840,47440,47330,300,190,2618,7416,2166
1708,20170124,47240,46910,47430,46820,47430,47310,190,70,904,4404,464
1709,20170124,47160,46970,47480,46660,47480,47310,320,150,348,3632,-68
1710,20170124,47160,47000,47630,46950,47630,47420,470,260,418,4252,14
1711,20170124,47250,46950,47510,46900,47510,47290,260,40,316,4532,10
1712,20170124,47220,47100,47510,46950,47510,47220,290,0,202,4236,16
1801,20170124,47120,47010,47550,46950,47520,47190,400,70,76,334,-14
小计,20170124,,,,,,,,,281678,439608,928
1702,20170125,46810,47190,47690,47190,47490,47480,680,670,16042,55564,-4330
1703,20170125,46870,47480,47880,47370,47650,47610,780,740,197238,165856,-9326
1704,20170125,47030,47570,47980,47500,47780,47750,750,720,52854,114976,7872
1705,20170125,47100,47780,48060,47530,47850,47850,750,750,30170,57420,3832
1706,20170125,47160,47750,48150,47700,47890,47920,730,760,6446,16388,1354
1707,20170125,47330,47830,48290,47820,47970,48040,640,710,1742,7506,90
1708,20170125,47310,47750,48420,47750,48080,48180,770,870,4072,6386,1982
1709,20170125,47310,47480,48630,47440,48230,48380,920,1070,4108,5954,2322
1710,20170125,47420,48050,48720,47610,48360,48370,940,950,3580,5774,1522
1711,20170125,47290,47950,48920,47850,48440,48560,1150,1270,3468,5148,616
1712,20170125,47220,47990,48960,47920,48480,48750,1260,1530,4768,6632,2396
1801,20170125,47190,47990,49150,47940,48530,48660,1340,1470,366,368,34
小计,20170125,,,,,,,,,324854,447972,8364
1702,20170126,47480,47380,48590,47310,47770,47660,290,180,13608,51764,-3800
1703,20170126,47610,47460,48210,47450,48040,47820,430,210,188630,159580,-6276
1704,20170126,47750,47600,48280,47550,48070,47930,320,180,61178,121024,6048
1705,20170126,47850,47740,48360,47670,48130,48040,280,190,23838,57938,518
1706,20170126,47920,47790,48430,47760,48180,48060,260,140,3072,16360,-28
1707,20170126,48040,47920,48500,47870,48480,48000,440,-40,734,7756,250
1708,20170126,48180,48040,48600,48000,48490,48140,310,-40,384,6384,-2
1709,20170126,48380,48100,48690,47940,48600,48310,220,-70,748,5932,-22
1710,20170126,48370,48130,48810,48130,48740,48470,370,100,210,5734,-40
1711,20170126,48560,48210,48850,48190,48810,48490,250,-70,108,5138,-10
1712,20170126,48750,48400,48900,48210,48800,48370,50,-380,190,6648,16
1801,20170126,48660,48400,48890,48400,48840,48570,180,-90,48,360,-8
小计,20170126,,,,,,,,,292748,444618,-3354
1702,20170203,47660,46880,47350,46440,46620,46720,-1040,-940,9484,50760,-1004
1703,20170203,47820,47700,47710,46520,46780,46920,-1040,-900,119846,153148,-6432
1704,20170203,47930,47790,47800,46650,46870,47060,-1060,-870,64984,125860,4836
1705,20170203,48040,47950,47950,46780,47000,47120,-1040,-920,21298,61138,3200
1706,20170203,48060,47870,47870,46880,47140,47240,-920,-820,3630,16486,126
1707,20170203,48000,47810,47810,46990,47210,47270,-790,-730,332,7880,124
1708,20170203,48140,47600,47760,47100,47210,47380,-930,-760,66,6388,4
1709,20170203,48310,47710,47970,47140,47360,47600,-950,-710,256,5922,-10
1710,20170203,48470,47760,48120,47260,47450,47690,-1020,-780,100,5718,-16
1711,20170203,48490,47900,48120,47370,47500,47610,-990,-880,72,5146,8
1712,20170203,48370,47890,48030,47360,47590,47700,-780,-670,92,6644,-4
1801,20170203,48570,48220,48220,47480,47620,47840,-950,-730,70,350,-10
小计,20170203,,,,,,,,,220230,445440,822
1702,20170206,46720,46550,46790,46210,46460,46480,-260,-240,15760,45950,-4810
1703,20170206,46920,46810,46980,46300,46600,46600,-320,-320,145150,150708,-2440
1704,20170206,47060,46940,47090,46420,46730,46740,-330,-320,79886,136996,11136
1705,20170206,47120,47030,47220,46580,46860,46870,-260,-250,24686,65754,4616
1706,20170206,47240,47170,47290,46680,46970,46970,-270,-270,3996,16878,392
1707,20170206,47270,47200,47360,46790,47010,47060,-260,-210,956,8270,390
1708,20170206,47380,47360,47400,46840,47170,47190,-210,-190,124,6418,30
1709,20170206,47600,47410,47540,46970,47180,47250,-420,-350,260,5952,30
1710,20170206,47690,47450,47570,47100,47350,47330,-340,-360,308,5750,32
1711,20170206,47610,47610,47620,47150,47300,47370,-310,-240,128,5172,26
1712,20170206,47700,47550,47700,47180,47450,47450,-250,-250,258,6716,72
1801,20170206,47840,47280,47550,47280,47460,47420,-380,-420,28,360,10
小计,20170206,,,,,,,,,271540,454924,9484
1702,20170207,46480,46460,46870,46130,46670,46690,190,210,15810,42100,-3850
1703,20170207,46600,46620,47060,46560,46850,46810,250,210,129254,149890,-818
1704,20170207,46740,46790,47190,46700,46990,46950,250,210,66358,142738,5742
1705,20170207,46870,46800,47300,46800,47100,47060,230,190,16712,67772,2018
1706,20170207,46970,47000,47390,46920,47180,47170,210,200,1768,16926,48
1707,20170207,47060,47210,47450,47090,47400,47320,340,260,166,8254,-16
1708,20170207,47190,47400,47550,47290,47470,47470,280,280,44,6404,-14
1709,20170207,47250,47460,47610,47360,47480,47520,230,270,376,6058,106
1710,20170207,47330,47290,47680,47290,47570,47500,240,170,130,5766,16
1711,20170207,47370,47550,47710,47480,47700,47600,330,230,68,5174,2
1712,20170207,47450,47490,47840,47470,47700,47610,250,160,308,6886,170
1801,20170207,47420,47700,47900,47650,47900,47760,480,340,22,360,0
小计,20170207,,,,,,,,,231016,458328,3404
1702,20170208,46690,46530,47450,46450,47450,47150,760,460,20250,37800,-4300
1703,20170208,46810,46800,47690,46530,47660,47170,850,360,185624,152378,2488
1704,20170208,46950,46910,47840,46700,47810,47360,860,410,117574,156012,13274
1705,20170208,47060,47060,47930,46840,47880,47480,820,420,31086,70912,3140
1706,20170208,47170,47130,48030,46900,48010,47690,840,520,6006,18520,1594
1707,20170208,47320,47080,48070,47040,48060,47700,740,380,1034,8182,-72
1708,20170208,47470,47120,48200,47120,48050,47980,580,510,198,6422,18
1709,20170208,47520,47310,48400,47240,48400,48070,880,550,588,6068,10
1710,20170208,47500,47440,48420,47440,48420,48130,920,630,208,5728,-38
1711,20170208,47600,47450,48540,47450,48270,48240,670,640,234,5176,2
1712,20170208,47610,47650,48690,47620,48640,48330,1030,720,802,7328,442
1801,20170208,47760,48110,48900,48110,48860,48600,1100,840,3512,3110,2750
小计,20170208,,,,,,,,,367116,477636,19308
1702,20170209,47150,47500,47510,47010,47140,47250,-10,100,18090,36270,-1530
1703,20170209,47170,47580,47790,47210,47410,47530,240,360,153138,150610,-1768
1704,20170209,47360,47710,47950,47370,47590,47680,230,320,108768,159288,3276
1705,20170209,47480,47870,48050,47500,47720,47800,240,320,34948,74720,3808
1706,20170209,47690,47930,48120,47630,47830,47900,140,210,3846,19204,684
1707,20170209,47700,48000,48220,47810,47940,48040,240,340,718,8340,158
1708,20170209,47980,48130,48270,48000,48010,48130,30,150,86,6448,26
1709,20170209,48070,48120,48480,47940,48020,48270,-50,200,276,6156,88
1710,20170209,48130,48540,48630,48160,48270,48430,140,300,164,5710,-18
1711,20170209,48240,48470,48760,48160,48360,48530,120,290,226,5188,12
1712,20170209,48330,48640,48840,48310,48360,48680,30,350,330,7384,56
1801,20170209,48600,48880,49030,48470,48500,48890,-100,290,906,3722,612
小计,20170209,,,,,,,,,321496,483040,5404
1702,20170210,47250,47240,47500,46720,47350,47010,100,-240,23590,36000,-270
1703,20170210,47530,47460,47820,46920,47610,47380,80,-150,199464,152504,1894
1704,20170210,47680,47620,48050,47120,47820,47570,140,-110,213852,177982,18694
1705,20170210,47800,47810,48150,47280,47970,47720,170,-80,55402,79590,4870
1706,20170210,47900,47870,48270,47350,48110,47900,210,0,8732,20498,1294
1707,20170210,48040,48020,48370,47550,48150,48010,110,-30,1682,8576,236
1708,20170210,48130,47770,48510,47770,48360,48140,230,10,1466,6978,530
1709,20170210,48270,48150,48600,47910,48420,48280,150,10,460,6290,134
1710,20170210,48430,48210,48710,48000,48560,48430,130,0,176,5756,46
1711,20170210,48530,48250,48880,48090,48660,48580,130,50,132,5258,70
1712,20170210,48680,48410,49060,48100,48780,48660,100,-20,232,7474,90
1801,20170210,48890,48450,49280,48290,48970,49060,80,170,846,4316,594
小计,20170210,,,,,,,,,506034,511222,28182
1702,20170213,47010,47300,50300,47280,49500,49320,2490,2310,15950,32260,-3740
1703,20170213,47380,47580,50330,47560,49870,49220,2490,1840,282176,135290,-17214
1704,20170213,47570,47800,50620,47780,50120,49550,2550,1980,616476,245852,67870
1705,20170213,47720,47970,50760,47940,50260,49700,2540,1980,125078,96616,17026
1706,20170213,47900,48020,50920,48020,50460,49800,2560,1900,25792,25382,4884
1707,20170213,48010,48260,51110,48250,50560,49940,2550,1930,8002,10982,2406
1708,20170213,48140,48740,51350,48700,50700,50090,2560,1950,5450,8880,1902
1709,20170213,48280,48230,51580,48190,50800,50280,2520,2000,6152,9106,2816
1710,20170213,48430,48680,51820,48660,51000,50500,2570,2070,5278,8194,2438
1711,20170213,48580,48720,51900,48720,51190,50900,2610,2320,4950,7414,2156
1712,20170213,48660,48880,52000,48850,51300,51010,2640,2350,6400,10910,3436
1801,20170213,49060,48900,52250,48900,51470,51420,2410,2360,5580,6796,2480
小计,20170213,,,,,,,,,1107284,597682,86460
1702,20170214,49320,49460,49630,49170,49630,49400,310,80,11510,23940,-8320
1703,20170214,49220,49550,49980,49400,49890,49680,670,460,108320,127710,-7580
1704,20170214,49550,49820,50250,49660,50110,49940,560,390,347374,265978,20126
1705,20170214,49700,49980,50350,49820,50220,50100,520,400,67190,105018,8402
1706,20170214,49800,50250,50500,49980,50330,50260,530,460,15082,25918,536
1707,20170214,49940,50330,50620,50120,50510,50430,570,490,2408,11414,432
1708,20170214,50090,50520,50800,50330,50510,50550,420,460,1724,9246,366
1709,20170214,50280,50980,50980,50420,50680,50700,400,420,1590,9708,602
1710,20170214,50500,50910,51000,50510,50700,50800,200,300,1048,8340,146
1711,20170214,50900,51000,51100,50630,50750,50910,-150,10,1156,7616,202
1712,20170214,51010,51180,51240,50740,50960,50990,-50,-20,2012,11536,626
1801,20170214,51420,51400,51400,50920,51100,51130,-320,-290,1204,6884,88
小计,20170214,,,,,,,,,560618,613308,15626
1702,20170215,49400,49680,49680,47670,48300,48490,-1100,-910,3070,23390,-550
1703,20170215,49680,49890,50060,48120,48560,48910,-1120,-770,123716,116402,-11308
1704,20170215,49940,50090,50290,48290,48740,49120,-1200,-820,512812,229176,-36802
1705,20170215,50100,50230,50400,48500,48910,49300,-1190,-800,102828,102186,-2832
1706,20170215,50260,50340,50500,48620,49080,49430,-1180,-830,16980,27706,1788
1707,20170215,50430,50480,50590,48800,49210,49710,-1220,-720,2248,11596,182
1708,20170215,50550,50580,50660,48950,49340,49810,-1210,-740,1014,9444,198
1709,20170215,50700,50420,50750,49000,49420,49870,-1280,-830,964,9764,56
1710,20170215,50800,50810,50900,49160,49650,49890,-1150,-910,1136,8270,-70
1711,20170215,50910,50920,50950,49400,49700,50020,-1210,-890,844,7680,64
1712,20170215,50990,50970,51000,49250,49790,50110,-1200,-880,2554,11736,200
1801,20170215,51130,51180,51270,49480,50000,50310,-1130,-820,796,7098,214
小计,20170215,,,,,,,,,768962,564448,-48860
1703,20170216,48910,48590,49150,48310,48560,48780,-350,-130,87568,111234,-5168
1704,20170216,49120,48740,49380,48510,48680,48970,-440,-150,376604,228912,-264
1705,20170216,49300,48910,49550,48690,48960,49140,-340,-160,89842,109692,7506
1706,20170216,49430,49080,49670,48850,49090,49220,-340,-210,13192,30102,2396
1707,20170216,49710,49190,49760,49000,49200,49470,-510,-240,910,11726,130
1708,20170216,49810,49320,49870,49110,49260,49570,-550,-240,506,9604,160
1709,20170216,49870,49570,49940,49170,49300,49760,-570,-110,736,9916,152
1710,20170216,49890,49650,50050,49480,49480,49850,-410,-40,714,8442,172
1711,20170216,50020,49470,50100,49400,49400,49900,-620,-120,692,7786,106
1712,20170216,50110,49790,50190,49510,49680,49900,-430,-210,828,11684,-52
1801,20170216,50310,50000,50300,49780,49780,50080,-530,-230,668,7204,106
1802,20170216,50310,50010,50370,49910,50000,50080,-310,-230,82,68,68
小计,20170216,,,,,,,,,572342,546370,5312
1703,20170217,48780,48450,48740,47970,48220,48400,-560,-380,67884,105512,-5722
1704,20170217,48970,48600,48960,48170,48360,48600,-610,-370,375026,227192,-1720
1705,20170217,49140,48890,49120,48360,48550,48780,-590,-360,82658,112542,2850
1706,20170217,49220,49040,49260,48540,48680,48920,-540,-300,11636,30532,430
1707,20170217,49470,49090,49380,48670,48860,49070,-610,-400,1422,11990,264
1708,20170217,49570,49230,49440,48920,49000,49220,-570,-350,360,9654,50
1709,20170217,49760,49510,49510,48820,48980,49160,-780,-600,338,9852,-64
1710,20170217,49850,49580,49580,49070,49350,49330,-500,-520,120,8442,0
1711,20170217,49900,49180,49580,49180,49430,49420,-470,-480,106,7762,-24
